NCESID,StudentTestID,StudentLocalID,StudentGradeLevel,TestDate,TestName,TestTypeName,TestSubjectName,TestGradeLevel,Score1Label,Score1Type,Score1Value,Score2Label,Score2Type,Score2Value,Score3Label,Score3Type,Score3Value,Score4Label,Score4Type,Score4Value
373737,1408905,missing,3,4/1/13,MCAS,MCAS ELA,ELA,3,Performance Level,Level,2-W,Scaled Score,Scale,216,CPI,Scale,25,,,
373737,1408905,missing,3,5/1/13,MCAS,MCAS Math,Math,3,Performance Level,Level,2-W,Scaled Score,Scale,210,CPI,Scale,25,,,
373737,1020285,missing,3,4/1/13,MCAS,MCAS ELA,ELA,3,Performance Level,Level,3-NI,Scaled Score,Scale,238,CPI,Scale,75,,,
373737,1020285,missing,3,5/1/13,MCAS,MCAS Math,Math,3,Performance Level,Level,4-P,Scaled Score,Scale,244,CPI,Scale,100,,,
373737,1681155,missing,3,4/1/13,MCAS,MCAS ELA,ELA,3,Performance Level,Level,3-NI,Scaled Score,Scale,220,CPI,Scale,50,,,
373737,1681155,missing,3,5/1/13,MCAS,MCAS Math,Math,3,Performance Level,Level,3-NI,Scaled Score,Scale,236,CPI,Scale,75,,,
373737,1987801,missing,3,4/1/13,MCAS,MCAS ELA,ELA,3,Performance Level,Level,4-P,Scaled Score,Scale,252,CPI,Scale,100,,,
373737,1987801,missing,3,5/1/13,MCAS,MCAS Math,Math,3,Performance Level,Level,4-P,Scaled Score,Scale,246,CPI,Scale,100,,,
373737,1351732,missing,3,4/1/13,MCAS,MCAS ELA,ELA,3,Performance Level,Level,4-P,Scaled Score,Scale,246,CPI,Scale,100,,,
373737,1351732,missing,3,5/1/13,MCAS,MCAS Math,Math,3,Performance Level,Level,3-NI,Scaled Score,Scale,228,CPI,Scale,50,,,
373737,1833359,missing,3,4/1/13,MCAS,MCAS ELA,ELA,3,Performance Level,Level,3-NI,Scaled Score,Scale,230,CPI,Scale,75,,,
373737,1833359,missing,3,5/1/13,MCAS,MCAS Math,Math,3,Performance Level,Level,3-NI,Scaled Score,Scale,220,CPI,Scale,50,,,
373737,1624948,missing,3,4/1/13,MCAS,MCAS ELA,ELA,3,Performance Level,Level,4-P,Scaled Score,Scale,240,CPI,Scale,100,,,
373737,1624948,missing,3,5/1/13,MCAS,MCAS Math,Math,3,Performance Level,Level,4-P,Scaled Score,Scale,246,CPI,Scale,100,,,
373737,1761110,missing,3,4/1/13,MCAS,MCAS ELA,ELA,3,Performance Level,Level,3-NI,Scaled Score,Scale,234,CPI,Scale,75,,,
373737,1761110,missing,3,5/1/13,MCAS,MCAS Math,Math,3,Performance Level,Level,4-P,Scaled Score,Scale,254,CPI,Scale,100,,,
373737,1336566,missing,3,4/1/13,MCAS,MCAS ELA,ELA,3,Performance Level,Level,3-NI,Scaled Score,Scale,226,CPI,Scale,50,,,
373737,1336566,missing,3,5/1/13,MCAS,MCAS Math,Math,3,Performance Level,Level,3-NI,Scaled Score,Scale,236,CPI,Scale,75,,,
